Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Aira Health,Health Care,2015-2019,Personalized asthma/allergy app,$12M,Small user base and cash shortage,Niche apps need big audiences,0,1,1,1,0,0,1,1,0,0,0,0,0
Amino,Health Care,2013-2021,Doctor search and cost estimation,$45M,Lost to Zocdoc/GoodRx and slow adoption,Narrow focus beats broad,1,0,1,1,0,0,1,0,0,0,0,0,0
Arivale,Health Care,2015-2019,Personalized health coaching,$50M,High costs and low demand,Premium needs mass market,0,1,0,1,0,0,1,0,0,0,0,0,0
Augmedix,Health Care,2012-2024,Remote medical scribes,$150M,Lost to software rivals and acquired,Flexibility beats rigidity,1,0,1,0,1,0,0,0,0,0,0,0,0
Avizia,Health Care,2014-2018,Telemedicine for hospitals,$32M,Outpaced by bigger rivals and acquired,Niche needs a moat,1,0,1,0,1,0,0,0,0,0,0,0,0
Babylon Health,Health Care,2013-2023,AI-powered telemedicine,$635M,Overexpansion and losses,Quality must match scale,1,1,1,0,0,0,0,0,1,0,0,0,0
Basis,Health Care,2014-2016,Health smartwatch,$30M,Overheating and competition,Reliability is make-or-break,1,0,1,0,0,0,0,0,1,0,0,0,0
Better,Health Care,2016-2023,Mental health for employees,$4.5M,Crowded market and no differentiation,Unique value is critical,1,0,1,1,0,0,0,0,0,0,0,0,0
BetterHelp,Health Care,2013-2017,Online therapy (early),$31M,Trust issues and competition,Trust comes first,1,0,1,1,0,0,0,0,0,0,1,0,0
BioBeats,Health Care,2014-2020,Stress monitoring wearable,$7M,Lost to bigger players and acquired,Standout use case needed,1,0,1,0,1,0,0,0,0,0,0,0,0
Call9,Health Care,2015-2019,Telemedicine for nursing homes,$34M,Slow growth and high costs,Execution must scale,0,1,0,1,0,0,1,0,1,0,0,0,0
Cardiogram,Health Care,2016-2021,Heart rate analysis app,$2M,Monetization and differentiation woes,Validation is key,1,1,1,1,0,0,1,0,0,0,0,0,0
CareSync,Health Care,2011-2018,Care coordination platform,$48M,No payer contracts and revenue,Need payer buy-in,0,1,0,1,0,0,1,0,0,0,0,0,0
CareZone,Health Care,2013-2020,Medication management app,$161M,Lost to free tools and sold,Defensible revenue matters,1,0,1,0,1,0,1,0,0,0,0,0,0
Clarityn,Health Care,2016-2020,AI eye diagnostics,$20M,Lost to IDx and regulatory delays,Regulatory wins are key,1,0,1,0,0,0,0,0,1,0,0,1,0
Clinkle,Health Care,2011-2016,Mobile wallet (health-adjacent),$30M,Leadership and no product,Execution over promises,0,0,0,0,0,0,0,0,1,0,0,0,0
Cue Health,Health Care,2014-2024,At-home diagnostics,$404M,Post-COVID crash and costs,Plan for cycles,0,1,0,0,0,0,0,0,0,1,0,0,0
Dopamine Labs,Health Care,2015-2019,Behavioral tech for apps,$2.5M,Lost focus and faded,Focus wins in health,0,0,0,1,0,0,0,0,1,0,0,0,0
Doxy.me,Health Care,2013-2018,Free telemedicine (early),$5M,Free model unsustainable,Monetization is key,1,1,1,0,0,0,1,0,0,0,0,0,0
Driver,Health Care,2018-2018,Cancer trial matching,$lowM,Bad pricing and funding,Validate willingness to pay,0,1,0,1,0,0,1,0,0,0,0,0,1
Dthera Sciences,Health Care,2016-2020,Alzheimer’s therapeutic,$3M,Small market and funding,Niche needs deep pockets,0,1,0,1,0,0,0,1,0,0,0,0,0
Eargo,Health Care,2010-2023,Hearing aids,$316M,Fraud allegations and competition,Trust is king,1,0,1,0,0,0,0,0,0,0,1,0,0
FitStar,Health Care,2013-2015,Fitness app,$5M,Lost steam and acquired,Killer edge needed,1,0,1,0,1,0,0,0,0,0,0,0,0
Ginger,Health Care,2011-2021,Mental health support,$220M,High costs and merged,Profitability matters,1,1,1,0,1,0,0,0,0,0,0,0,0
Goldfinch Bio,Health Care,2016-2023,Precision kidney meds,$209M,Funding dried up and slow progress,Timing is critical,0,1,0,0,0,0,0,0,1,1,0,0,0
Healx,Health Care,2014-2023,AI for rare diseases,$110M,Funding crunch and slow results,Deliver or downsize,0,1,0,0,0,0,0,0,1,1,0,0,0
