Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
99dresses,Retail Trade,3 (2010-2013),Fashion swapping app,$0.5M,Shut down 2013; low retention; funding fell through,Retention is king,0,1,0,1,0,0,0,1,0,0,0,0,0
Ahalife,Retail Trade,7 (2010-2017),Curated luxury goods marketplace,$20M,Closed 2017; high marketing costs; lost to Amazon,Niche doesn't defend,1,0,1,0,0,0,1,1,0,0,0,0,0
AllRomance,Retail Trade,10 (2006-2016),E-book retailer for romance novels,$1M,Closed 2016; financial losses; lost to Kindle,Adapt or die,1,1,0,0,0,0,1,0,1,0,0,0,0
Auctionata,Retail Trade,6 (2012-2018),Online auction house for art and luxury,$95M,Shut down 2018; high costs; lost to eBay; valuation scandal,Trust and economics matter,1,0,1,0,0,0,0,0,1,0,1,0,0
Augury Books,Retail Trade,5 (2012-2017),Indie e-commerce bookstore for poetry,$0.5M,Closed 2017; couldn't scale; lost to Amazon,Niche retail bleeds,1,1,0,0,0,0,0,1,0,0,0,0,0
Beepi,Retail Trade,4 (2013-2017),Peer-to-peer used car marketplace,$150M,Shut down 2017; high shipping costs; cash burned out,Costs can kill,1,1,0,0,0,0,1,0,1,0,0,0,0
Boxed,Retail Trade,8 (2013-2021),Bulk e-commerce platform,$326M,Bankruptcy 2021; lost to Amazon; high shipping costs,Scale trumps convenience,1,0,1,0,0,0,1,0,0,0,0,0,0
BurstIQ,Retail Trade,7 (2015-2022),Blockchain health data marketplace,$5.8M,Faded 2022; low adoption; lost to data brokers,Tech alone doesn't sell,0,0,1,1,0,0,0,1,0,0,0,1,0
Carwoo,Retail Trade,6 (2009-2015),Online car-buying platform,$15M,Closed 2015; dealers resisted; cash ran dry,Resistance stalls disruption,0,1,1,0,0,0,0,0,0,0,0,0,0
Catelyn,Retail Trade,3 (2015-2018),Subscription jewelry rental service,$2M,Shut down 2018; low demand; lost to Stitch Fix,Niche needs traction,0,0,1,1,0,0,0,1,0,0,0,0,0
Chinictown,Retail Trade,4 (2013-2017),E-commerce for Chinese gadgets,$1M,Closed 2017; lost to Amazon; shipping delays,Speed beats novelty,1,1,0,0,0,0,1,0,0,0,0,0,0
Combatant Gentlemen,Retail Trade,8 (2012-2020),Online menswear brand,$35M,Bankruptcy 2020; overexpansion; quality issues,Quality over growth,1,0,1,0,0,0,0,0,1,0,0,0,0
ContextLogic,Retail Trade,13 (2010-2023),Discount e-commerce app (Wish),$1.8B,Faded 2023; low-quality goods; lost to Amazon,Cheap doesn't last,1,0,1,0,0,0,0,0,0,1,1,0,0
Crate,Retail Trade,4 (2014-2018),Online furniture rental service,$4M,Shut down 2018; soft demand; high logistics costs,Niche needs a hook,0,1,0,1,0,0,0,1,0,0,0,0,0
Din,Retail Trade,3 (2013-2016),Curated online grocery platform,$3M,Closed 2016; local limits; lost to Instacart,Local limits growth,1,1,1,0,0,0,0,1,0,0,0,0,0
Dot & Bo,Retail Trade,5 (2013-2018),Online home decor retailer,$20M,Shut down 2018; overexpansion; lost to Wayfair,Cash burn kills curation,1,0,1,0,0,0,0,0,1,0,0,0,0
Drizly,Retail Trade,11 (2012-2023),Alcohol delivery app,$120M,Sold 2021; faded 2023; Uber struggled with regs,Regs and giants choke,1,0,1,0,1,0,0,0,0,0,0,1,0
Drync,Retail Trade,7 (2012-2019),Wine e-commerce and discovery app,$7M,Closed 2019; lost to Wine.com; low margins,Niche needs volume,0,0,1,0,0,0,1,1,0,0,0,0,0
Ecomom,Retail Trade,4 (2009-2013),Eco-friendly baby products e-commerce,$12M,Shut down 2013; mismanagement; lost to Amazon,Execution beats ethos,1,1,0,0,0,0,0,0,1,0,1,0,0
ElectricObjects,Retail Trade,6 (2014-2020),Digital art screens retailer,$6M,Closed 2020; niche demand; lost to TVs,Hardware's a gamble,1,1,0,1,0,0,0,1,0,0,0,0,0
Fab.com,Retail Trade,7 (2011-2018),Flash-sale design retailer,$336M,Sold 2018; overexpansion; lost to Amazon,Growth needs profit,1,0,1,0,0,0,0,0,1,0,0,0,1
