name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Qounter,Application Platforms|Real Time|Social Network Media,700000,operating,USA,DE,DE - Other,Delaware City,2,2014-09-04,2014-03-01,2014-10-14
H2O.ai,Analytics,33600000,operating,USA,CA,SF Bay Area,Mountain View,4,2011-01-01,2013-01-03,2015-11-09
One Inc.,Mobile,1150050,operating,USA,CA,SF Bay Area,San Francisco,3,2011-08-01,2011-07-20,2014-02-05
1-800-DOCTORS,Health and Wellness,1750000,operating,USA,NJ,Newark,Iselin,1,1984-01-01,2011-03-02,2011-03-02
"1-800-PublicRelations, Inc.",Internet Marketing|Media|Public Relations,6000000,operating,USA,NY,New York City,New York,1,2013-10-24,2015-02-01,2015-02-01
1 Mainstream,Apps|Cable|Distribution|Software,5000000,acquired,USA,CA,SF Bay Area,Cupertino,1,2012-03-01,2015-03-17,2015-03-17
10-20 Media,E-Commerce,2050000,operating,USA,MD,Baltimore,Woodbine,4,2001-01-01,2009-06-18,2011-12-28
1000 Corks,Search,40000,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,2008-01-01,2011-08-23,2011-08-23
1000 Markets,Art|E-Commerce|Marketplaces,500000,acquired,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15
1000memories,Curated Web,2535000,acquired,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16
1000museums.com,Curated Web,6795451,operating,USA,MA,MA - Other,Lenox,9,2008-01-01,2009-10-14,2015-11-13
Redox,Health Care|Health Care Information Technology|Hospitals,4000000,operating,USA,WI,Madison,Madison,2,2014-07-04,2014-11-26,2015-10-20
100Plus,Analytics,1250000,acquired,USA,CA,SF Bay Area,San Francisco,2,2011-09-16,2011-11-02,2011-11-30
1010data,Software,35000000,acquired,USA,NY,New York City,New York,1,2000-01-01,2010-03-08,2010-03-08
10BestThings,Curated Web,50000,closed,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01
10sec,E-Commerce|Mobile Commerce|Social Commerce,1600000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-07-08,2013-10-31,2014-05-08
10X Genomics,Biotechnology|Technology,55000000,operating,USA,CA,SF Bay Area,Pleasanton,1,2012-01-01,2015-01-12,2015-01-12
10X Technologies,Biotechnology,3550000,operating,USA,CA,SF Bay Area,Oakland,2,2012-01-01,2012-11-07,2015-01-12
10X10 Room,Software,77500,operating,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12
12 Labs,Health and Wellness|Personal Health,935000,operating,USA,CA,SF Bay Area,Palo Alto,1,2014-08-01,2014-11-26,2014-11-26
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000,operating,USA,RI,Providence,Providence,6,2011-10-07,2012-02-06,2014-01-01
128 Technology,Service Providers|Technology,11999347,operating,USA,MA,Boston,Burlington,1,2014-07-07,2014-12-16,2014-12-16
1366 Technologies,Manufacturing,71450000,operating,USA,MA,Boston,Bedford,9,2007-01-01,2008-03-27,2015-04-09
140 Proof,Advertising|Big Data Analytics|Interest Graph,5500000,operating,USA,CA,SF Bay Area,San Francisco,2,2010-01-11,2009-07-01,2011-04-28
140Fire,Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05
15Five,Software,3400000,operating,USA,CA,SF Bay Area,San Francisco,3,2011-05-01,2012-01-01,2014-10-02
169 ST.,Entertainment|Games,50000,closed,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01
170 Systems,Software,14000000,acquired,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16
17hats,Internet,5250000,operating,USA,CA,Los Angeles,Los Angeles,2,2014-01-01,2015-02-18,2015-10-15
17zuoye,Education|Language Learning,135000000,operating,USA,VA,VA - Other,Shanghai,5,2007-01-01,2011-01-01,2015-02-19
One Block Off the Grid (1BOG),Clean Technology|Residential Solar,5000000,closed,USA,CA,SF Bay Area,San Francisco,1,2008-11-01,2010-02-11,2010-02-11
1CommMedical,Health Care|Insurance|Medical,2500000,operating,USA,IA,Des Moines,Ankeny,1,2013-01-01,2015-04-27,2015-04-27
1DayMakeover,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000,closed,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000,acquired,USA,NY,New York City,New York,2,2011-02-01,2011-08-10,2015-07-21
1Energy Systems,Software,1450000,operating,USA,WA,Seattle,Seattle,1,2010-01-01,2013-04-22,2013-04-22
Babyscripts,Health and Wellness|Mobile Health,2100000,operating,USA,DC,"Washington, D.C.",Washington,3,2013-03-08,2013-03-11,2015-04-10
1Life Healthcare,Health and Wellness|Health Care|Services,30000000,operating,USA,CA,SF Bay Area,San Francisco,1,2002-01-01,2013-03-21,2013-03-21
1Mind,Social Media,500000,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,2011-01-01,2013-08-05,2013-08-05
1spire,Manufacturing,30000,operating,USA,TX,Houston,Houston,1,2011-10-01,2011-12-20,2011-12-20
1st Merchant Funding,Financial Services|FinTech,10000000,operating,USA,FL,Miami,Miami,1,2007-01-01,2014-05-07,2014-05-07
1stdibs,E-Commerce,117000000,operating,USA,NY,New York City,New York,5,2001-01-01,2011-11-03,2015-09-09
1stGig.com,E-Commerce,750000,operating,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,4000000,operating,USA,CA,SF Bay Area,San Jose,3,2011-12-01,2013-07-02,2015-08-13
2NGageU,Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women,58000,operating,USA,VT,VT - Other,Williston,1,2011-12-26,2012-04-12,2012-04-12
20/20 Gene Systems Inc.,Biotechnology|Health Diagnostics,4345427,operating,USA,MD,"Washington, D.C.",Rockville,3,2000-05-01,2012-09-25,2015-10-30
20x200,Art|E-Commerce|Social Commerce,2800000,operating,USA,NY,New York City,New York,2,2007-09-01,2009-10-01,2010-08-01
2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,50000,closed,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,121050000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-05-01,2013-11-17,2015-03-10
22nd Century Group,Biotechnology,15034750,ipo,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18
23andMe,Biotechnology|Search,227049900,operating,USA,CA,SF Bay Area,Mountain View,8,2006-04-01,2005-11-02,2015-07-03
24Fundraiser.com,Non Profit|Social Fundraising,400000,operating,USA,IL,Chicago,Willowbrook,1,2007-08-01,2014-05-01,2014-05-01
24M Technologies,Clean Technology,16000000,operating,USA,MD,Salisbury,Cambridge,1,2010-01-01,2010-08-16,2010-08-16
24PageBooks,Software,50000,closed,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24
250ok,Software,300000,operating,USA,IN,Indianapolis,Indianapolis,2,2012-01-01,2012-09-01,2014-03-01
27 Perry,E-Commerce|Finance|Marketplaces,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17
28msec,Cloud Computing|Databases|Software|Web Development,5844811,operating,USA,CA,SF Bay Area,Palo Alto,1,2008-01-01,2013-10-28,2013-10-28
2Checkout,E-Commerce,72000000,operating,USA,OH,"Columbus, Ohio",Columbus,2,1999-01-01,2014-07-16,2015-09-15
2GO Mobile Solutions,Software,275000,operating,USA,TX,Dallas,Plano,1,2008-01-01,2010-04-09,2010-04-09
2lemetry,Internet of Things|M2M|Software,4000000,acquired,USA,CO,Denver,Denver,1,2011-09-01,2015-01-09,2015-01-09
2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,300000,operating,USA,WA,Seattle,Kirkland,2,2012-01-01,2014-05-15,2015-03-16
"2nd Story Software, Inc.",Software,85000000,acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30
