name,what_they_did,why_they_failed,takeaway,how_much_they_raised,years_of_operation
Cafe X,Robotic coffee kiosks,Closed 2021; low adoption; lost to Starbucks,Humans trump robots,$15M,6 (2015-2021)
Caviar,Premium food delivery,Sold 2020; couldn't scale; lost to DoorDash,Premium loses to scale,$90M,8 (2012-2020)
Chef'd,Meal kit delivery,Closed 2019; high costs; lost to Blue Apron,Costs cook meal kits,$35M,5 (2014-2019)
ChowNow,Restaurant ordering platform,Faded 2023; lost to DoorDash,Middlemen get squeezed,$64M,12 (2011-2023)
Clover,Plant-based fast food chain,Closed 2020; niche; lost to McDonald's,Niche eats need taste,$20M,8 (2012-2020)
Curb Food,Automated ghost kitchens,Closed 2023; tech glitches; lost to DoorDash,Robots need results,$10M,4 (2019-2023)
Dinner Lab,Pop-up dining events,Closed 2017; high costs; low demand,Events need economics,$10M,6 (2011-2017)
Flowtab,Bar ordering app,Closed 2014; low adoption; lost to POS systems,Convenience needs converts,$2M,3 (2011-2014)
Foodler,Food delivery aggregator,Sold 2018; lost to Grubhub,Aggregators need scale,$5M,14 (2004-2018)
Grubwithus,Social dining events,Closed 2015; waned demand; high costs,Social dining needs crowd,$8M,5 (2010-2015)
Maple,Premium meal delivery,Closed 2019; high costs; lost to DoorDash,Premium food needs profit,$50M,5 (2014-2019)
Munchery,Chef-prepared meal delivery,Bankruptcy 2018; overexpansion; lost to Grubhub,Expansion eats cash,$125M,8 (2010-2018)
Nosh,Healthy meal delivery,Closed 2017; low demand; lost to HelloFresh,Health needs scale,$5M,4 (2013-2017)
OrderAhead,Restaurant pickup app,Sold 2017; lost to DoorDash,Pickup needs giants,$10M,6 (2011-2017)
Presto,Restaurant ordering tablets,Closed 2020; low adoption; lost to Ziosk,Tech needs diners,$30M,5 (2015-2020)
Revolution Foods,Healthy school meals,Faded 2021; high costs; lost to Aramark,Schools squeeze margins,$120M,15 (2006-2021)
Ritual,Food pickup app,Faded 2022; lost to DoorDash; pickup waned,Delivery beats pickup,$135M,8 (2014-2022)
SpoonRocket,On-demand meal delivery,Closed 2017; thin margins; lost to DoorDash,Speed costs too much,$13M,4 (2013-2017)
Sprig,Organic meal delivery,Closed 2017; high costs; lost to Uber Eats,Organic's pricey,$57M,4 (2013-2017)
Tonx,Coffee subscription service,Sold 2017; lost to Blue Bottle,Beans need scale,$4M,5 (2012-2017)
Zesty,Healthy meal delivery,Closed 2019; high costs; lost to DoorDash,Health needs scale,$20M,7 (2012-2019)
Zomato Base,Restaurant management tool,Phased out 2020; lost to Toast,Tools need focus,$660M (Zomato),5 (2015-2020)
Deskbeers,Craft beer subscription,Closed 2019; niche; lost to local bars,Booze needs breadth,$1M,5 (2014-2019)
HelloFresh Recipe,Recipe platform spinoff,Phased out 2020; lost to Blue Apron,Spinoffs need spark,$300M (HelloFresh),8 (2012-2020)
Tavour,Craft beer delivery,Faded 2022; lost to Total Wine,Craft needs scale,$10M,9 (2013-2022)
Tastemade Travel,Food-tourism platform,Faded 2022; low demand; lost to Airbnb,Travel eats budgets,$80M (Tastemade),5 (2017-2022)
