name,years_of_operation,what_they_did,how_much_they_raised,why_they_failed,takeaway
Airware,2011-2018,Drone hardware/software for industry,$70M,Lost to DJI and high costs,Drones need simplicity
Anki,2010-2019,AI-powered toy robots,$200M,High costs and competition from Lego/Sphero,Consumer hardware needs mass pricing
Aptera Motors,2005-2011,Three-wheeled electric vehicles,$40M,Lost to Tesla and quirky design,EVs need mainstream appeal
Aria Insights,2008-2019,Tethered industrial drones,$39M,Small market and lost to DJI/Skydio,Hardware niches need big adopters
August Home,2012-2017,Smart locks and doorbells,$73M,Lost to Ring/Nest and acquired,Smart home needs ecosystem power
BeagleBone,2011-2018,Open-source computers,$5M,Lost to Raspberry Pi and small niche,Open-source needs community
Better Place,2007-2013,EVs with swappable batteries,$850M,Lost to Tesla and high infra costs,Infra needs buy-in
Butterfly Network,2011-2020,Handheld ultrasound device,$400M,Lost to GE/Philips and slow adoption,Medical hardware needs fast inroads
Cubelets,2011-2020,Modular toy robots,$10M,Lost to Lego/Sphero and niche focus,Edtech needs scale
Dyson's EV Project,2017-2019,Electric vehicle,$2.7B,Lost to Tesla/Nio and high costs,EVs are a giant’s game
Elio Motors,2009-2020,Cheap three-wheeled car,$30M,Lost to Toyota/Honda and delays,Cheap cars need delivery
Essential Products,2015-2020,Premium smartphones,$330M,Poor sales vs Apple/Samsung,Smartphone giants are unbeatable
Faraday Future,2014-2023,Luxury electric vehicles,$3.5B,Mismanagement and Tesla/Rivian competition,EV hype needs execution
Fisker Automotive,2007-2013,Luxury hybrid-electric cars,$1.4B,Lost to Tesla and supplier failure,Luxury EVs need reliability
GoPro Karma,2015-2018,Consumer drone,$200M,Lost to DJI and recall issues,Drones need perfection
Hello,2012-2017,Sleep-tracking orb,$40M,Lost to Fitbit/Apple Watch,Sleep tech must be wearable
Jawbone,2006-2017,Fitness trackers/speakers,$930M,Competition and quality issues,Fitness hardware needs quality
Juicero,2013-2017,Wi-Fi juicer,$120M,Overkill product vs Ninja/Breville,Hardware must solve real problems
Light,2013-2020,Multi-lens camera,$70M,Smartphones caught up,Cameras can’t outrun trends
Lily Robotics,2013-2017,Self-flying drone camera,$15M+$34M pre-orders,Couldn’t deliver vs DJI,Don’t overpromise hardware
Lytro,2006-2018,Light-field cameras,$200M,Smartphones matched it vs Canon/Nikon,Cameras can’t beat smartphones
MakerBot,2009-2017,Desktop 3D printers,$10M+$403M acquisition,Lost to Ultimaker/Prusa post-acquisition,3D printing needs precision
Osmo Systems,2013-2020,IoT water sensors,$3M,Niche market vs Hach,IoT needs a big niche
Pearl Automation,2014-2017,Car rearview cameras,$50M,Lost to Tesla/Ford built-ins,Auto tech must beat OEMs
Pebble,2012-2016,Smartwatches,$40M,Lost to Apple Watch and sold,Smartwatches need ecosystems
Quanergy,2012-2022,LiDAR for autonomous vehicles,$160M,Lost to Velodyne/Luminar and delays,LiDAR needs booming market
Rethink Robotics,2008-2018,Collaborative robots,$150M,Lost to Universal Robots/Fanuc,Robotics demands ROI
Skully Helmets,2013-2016,AR motorcycle helmets,$15M,Mismanagement and no product vs Nolan/Shoei,AR needs execution
Thalmic Labs,2012-2020,Gesture-control armband,$135M,Lost to Leap Motion/Oculus and sold,Wearables need a killer app
Zume,2015-2023,Robotic pizza systems,$375M,High costs vs Domino’s/Papa John’s,Food tech needs efficiency
