name,years_of_operation,what_they_did,how_much_they_raised,why_they_failed,takeaway
99dresses,3 (2010-2013),Fashion swapping app,$0.5M,Shut down 2013; low retention; funding fell through,Retention is king
Ahalife,7 (2010-2017),Curated luxury goods marketplace,$20M,Closed 2017; high marketing costs; lost to Amazon,Niche doesn't defend
AllRomance,10 (2006-2016),E-book retailer for romance novels,$1M,Closed 2016; financial losses; lost to Kindle,Adapt or die
Auctionata,6 (2012-2018),Online auction house for art and luxury,$95M,Shut down 2018; high costs; lost to eBay; valuation scandal,Trust and economics matter
Augury Books,5 (2012-2017),Indie e-commerce bookstore for poetry,$0.5M,Closed 2017; couldn't scale; lost to Amazon,Niche retail bleeds
Beepi,4 (2013-2017),Peer-to-peer used car marketplace,$150M,Shut down 2017; high shipping costs; cash burned out,Costs can kill
Boxed,8 (2013-2021),Bulk e-commerce platform,$326M,Bankruptcy 2021; lost to Amazon; high shipping costs,Scale trumps convenience
BurstIQ,7 (2015-2022),Blockchain health data marketplace,$5.8M,Faded 2022; low adoption; lost to data brokers,Tech alone doesn't sell
Carwoo,6 (2009-2015),Online car-buying platform,$15M,Closed 2015; dealers resisted; cash ran dry,Resistance stalls disruption
Catelyn,3 (2015-2018),Subscription jewelry rental service,$2M,Shut down 2018; low demand; lost to Stitch Fix,Niche needs traction
Chinictown,4 (2013-2017),E-commerce for Chinese gadgets,$1M,Closed 2017; lost to Amazon; shipping delays,Speed beats novelty
Combatant Gentlemen,8 (2012-2020),Online menswear brand,$35M,Bankruptcy 2020; overexpansion; quality issues,Quality over growth
ContextLogic,13 (2010-2023),Discount e-commerce app (Wish),$1.8B,Faded 2023; low-quality goods; lost to Amazon,Cheap doesn't last
Crate,4 (2014-2018),Online furniture rental service,$4M,Shut down 2018; soft demand; high logistics costs,Niche needs a hook
Din,3 (2013-2016),Curated online grocery platform,$3M,Closed 2016; local limits; lost to Instacart,Local limits growth
Dot & Bo,5 (2013-2018),Online home decor retailer,$20M,Shut down 2018; overexpansion; lost to Wayfair,Cash burn kills curation
Drizly,11 (2012-2023),Alcohol delivery app,$120M,Sold 2021; faded 2023; Uber struggled with regs,Regs and giants choke
Drync,7 (2012-2019),Wine e-commerce and discovery app,$7M,Closed 2019; lost to Wine.com; low margins,Niche needs volume
Ecomom,4 (2009-2013),Eco-friendly baby products e-commerce,$12M,Shut down 2013; mismanagement; lost to Amazon,Execution beats ethos
ElectricObjects,6 (2014-2020),Digital art screens retailer,$6M,Closed 2020; niche demand; lost to TVs,Hardware's a gamble
Fab.com,7 (2011-2018),Flash-sale design retailer,$336M,Sold 2018; overexpansion; lost to Amazon,Growth needs profit
Fancy,9 (2010-2019),Social e-commerce platform,$80M,Faded 2019; low conversion; lost to Amazon,Curation needs cash flow
Fashism,5 (2009-2014),Fashion advice app,$5M,Closed 2014; low engagement; lost to Instagram,Social needs stickiness
Fiksu,10 (2008-2018),Mobile marketing for retail apps,$17M,Faded 2018; lost to Google/Facebook ads,Giants own ads
Fobo,4 (2013-2017),Local food surplus marketplace,$2M,Closed 2017; low adoption; lost to DoorDash,Supply needs demand
Gilt Taste,5 (2011-2016),Gourmet food e-commerce,$250M (Gilt),Shut down 2016; high costs; sold off,Luxury needs volume
Goldbely,7 (2012-2019),Gourmet food delivery service,$33M,Sold 2019; shipping costs; lost to DoorDash,Logistics eat profits
Good Eggs,11 (2011-2022),Online grocery delivery,$200M,Scaled back 2022; high costs; lost to Amazon Fresh,Freshness costs
Graze,11 (2008-2019),Snack subscription box,$10M,Sold 2019; faded 2020; lost to Amazon,Subscriptions need stickiness
Groupon Now,4 (2011-2015),Real-time deal app,$950M (Groupon),Phased out 2015; low need; lost to Yelp,Timing trumps deals
Havenly,9 (2014-2023),Online interior design service,$85M,"Startup phase ""shut down"" 2023; lost to Wayfair",Scale beats service
Heyday,5 (2018-2023),Skincare e-commerce and spas,$25M,Closed 2023; lost to Sephora; high costs,Personalization's pricey
HobbyDB,8 (2014-2022),Collectibles marketplace,$8M,Faded 2022; too niche; lost to eBay,Niche needs traffic
Homejoy,4 (2012-2016),On-demand cleaning service,$40M,Shut down 2016; legal issues; lost to Handy,Service needs trust
Hush,4 (2016-2020),Sleep products e-commerce,$5M,Closed 2020; lost to Casper; low scale,Niche needs edge
Ibotta,11 (2011-2022),Cashback rewards app,$13M,Faded 2022; lost to Rakuten; low retailer uptake,Loyalty needs scale
Imercive,5 (2010-2015),Interactive shopping platform,$2M,Closed 2015; lost to Amazon; low adoption,Innovation needs buyers
