company,funding_date,funding_amount_usd,investor
"Fisher, Conner and Johnson",2025-07-13,940710000,Accel
Adams Ltd,2025-07-13,60402000,SoftBank
"Perkins, Cruz and Schultz",2025-07-13,76818000,Andreessen Horowitz
Cortez-Watson,2025-07-13,251940000,Accel
"Jordan, Brewer and Bates",2025-07-13,415352000,SoftBank
"Smith, Smith and Dickerson",2025-07-13,176484000,Accel
Kelley Inc,2025-07-13,573056000,Accel
"Nguyen, Rodriguez and Sweeney",2025-07-13,445717000,SoftBank
Crawford-Wallace,2025-07-13,159857000,Accel
Harris and Sons,2025-07-13,405534000,Sequoia
Murphy-Wells,2025-07-13,89475000,SoftBank
"Andrews, Fisher and Fischer",2025-07-13,302693000,Andreessen Horowitz
Kelly-Jenkins,2025-07-12,131468000,Index Ventures
"English, Carey and Miller",2025-07-12,80882000,Tiger Global
Smith-Hogan,2025-07-12,292719000,Accel
Howard Inc,2025-07-12,592026000,Sequoia
Owens and Sons,2025-07-12,1490600000,Y Combinator
Giles-Thomas,2025-07-12,130170000,SoftBank
"Price, Maldonado and Morales",2025-07-12,323512000,Accel
Bentley LLC,2025-07-12,872797000,Accel
"Turner, Hopkins and Smith",2025-07-12,400575000,Andreessen Horowitz
"Kramer, Smith and French",2025-07-12,1027615000,Tiger Global
Ewing Inc,2025-07-12,376252000,Index Ventures
Cole-Perry,2025-07-12,113701000,Sequoia
Huang-Ayers,2025-07-12,334789000,Sequoia
Harmon-Lopez,2025-07-12,71127000,Index Ventures
"Chung, Edwards and Morris",2025-07-12,76457000,SoftBank
"Tran, Underwood and Reyes",2025-07-12,515530000,Index Ventures
Ortiz-Wilson,2025-07-12,203328000,Andreessen Horowitz
Rogers Group,2025-07-12,271339000,Index Ventures
Walker-Brady,2025-07-11,168658000,Tiger Global
Jenkins LLC,2025-07-11,185928000,Tiger Global
"Peterson, Scott and Thornton",2025-07-11,1399434000,Tiger Global
Larson-Wiley,2025-07-11,2465812000,Tiger Global
Sanchez-Larson,2025-07-11,1906946000,Tiger Global
"Bailey, Douglas and Montgomery",2025-07-11,230387000,Index Ventures
Thompson-James,2025-07-11,345282000,Accel
Riley and Sons,2025-07-11,614569000,Accel
"Lee, Weeks and Leonard",2025-07-11,270881000,Tiger Global
Hall and Sons,2025-07-10,1532475000,Tiger Global
"Walker, Armstrong and Edwards",2025-07-10,341058000,Y Combinator
Cooper-Spence,2025-07-10,1901812000,Accel
Stone-Burns,2025-07-10,259805000,Andreessen Horowitz
Dean-Zimmerman,2025-07-10,544765000,Sequoia
King PLC,2025-07-10,85225000,Andreessen Horowitz
Bowman Inc,2025-07-10,960750000,Tiger Global
Myers PLC,2025-07-10,648318000,Sequoia
Dawson-Manning,2025-07-10,381020000,Accel
Sanford-Frazier,2025-07-10,441245000,Andreessen Horowitz
"Coleman, Beard and Byrd",2025-07-10,185492000,SoftBank
Roth and Sons,2025-07-10,114883000,Y Combinator
"Carrillo, Whitehead and Dixon",2025-07-10,326089000,Tiger Global
Campbell Ltd,2025-07-09,526378000,Y Combinator
Yates-Perez,2025-07-09,530226000,Y Combinator
Peters-Glover,2025-07-09,213625000,Index Ventures
Wilkins-Allen,2025-07-09,261877000,Andreessen Horowitz
Brown-Norris,2025-07-09,1639455000,Index Ventures
Williams-Rios,2025-07-09,745803000,Tiger Global
Davidson-Thompson,2025-07-09,1773464000,Sequoia
"Hall, Wilkins and Murphy",2025-07-09,249806000,Tiger Global
Smith and Sons,2025-07-09,596214000,SoftBank
Arnold-Rowe,2025-07-08,1419892000,Andreessen Horowitz
Butler-Montoya,2025-07-08,266901000,SoftBank
"Berger, Martinez and Dalton",2025-07-08,70808000,Andreessen Horowitz
Collins PLC,2025-07-08,295463000,SoftBank
"Bernard, Bradshaw and Robinson",2025-07-08,202844000,Andreessen Horowitz
Perkins-Reyes,2025-07-08,519648000,Y Combinator
"Hopkins, Brooks and Bailey",2025-07-08,3214669000,SoftBank
Burton PLC,2025-07-08,1346840000,Y Combinator
Miller-James,2025-07-08,63058000,Accel
"Owens, Fields and Li",2025-07-08,2485950000,Tiger Global
"Mills, Hancock and Weiss",2025-07-08,4222914000,Y Combinator
Mitchell Group,2025-07-07,541282000,Accel
Miller-Larson,2025-07-07,311572000,Accel
Cox Ltd,2025-07-07,100233000,SoftBank
"Norton, Chavez and Hill",2025-07-07,147574000,Andreessen Horowitz
Cruz-Mcclain,2025-07-07,80984000,Accel
Lee Ltd,2025-07-07,341778000,Sequoia
Jackson-Howell,2025-07-07,742243000,SoftBank
"Norton, Cunningham and Johnson",2025-07-07,52973000,Tiger Global
Conway Ltd,2025-07-07,440483000,Sequoia
Ewing LLC,2025-07-07,170627000,Y Combinator
Berry Inc,2025-07-07,100429000,Accel
James-Moreno,2025-07-07,511951000,Sequoia
Schultz Inc,2025-07-07,1332002000,Sequoia
"Smith, Brown and Hanson",2025-07-07,200275000,Andreessen Horowitz
"Fernandez, Adams and Thomas",2025-07-07,454383000,Y Combinator
Diaz-Thomas,2025-07-06,93793000,Accel
Thomas Inc,2025-07-06,324946000,Andreessen Horowitz
Bowers Inc,2025-07-06,721847000,Index Ventures
Phillips-Aguilar,2025-07-06,328156000,Y Combinator
Zamora Inc,2025-07-06,92606000,Y Combinator
Ochoa-Mccoy,2025-07-06,185496000,Andreessen Horowitz
Middleton-Riddle,2025-07-06,330576000,Andreessen Horowitz
Powell-Lam,2025-07-06,401050000,Y Combinator
Smith Ltd,2025-07-06,62047000,Tiger Global
Rios Inc,2025-07-06,317588000,SoftBank
Martin-Warren,2025-07-05,215306000,Y Combinator
Norton-Williamson,2025-07-05,2625306000,SoftBank
"Martin, Richards and Schwartz",2025-07-05,888368000,Sequoia
Hanson-Campos,2025-07-05,776064000,Andreessen Horowitz
Gonzalez-Colon,2025-07-05,56619000,Tiger Global
Hodges LLC,2025-07-05,284005000,Tiger Global
"Hayes, Ellis and Sanders",2025-07-05,162122000,Tiger Global
"Smith, Hall and Vincent",2025-07-05,218061000,Y Combinator
Russell and Sons,2025-07-05,299313000,Andreessen Horowitz
